text,label
পেলাম জীবনে ভবিষ্যৎে অন্ধকার কিভাবে বাকি জীবন চলবো,1
ছোট ছোট স্বপ্নগুলো পূরণ পারলে জীবনটা সার্থক বড় স্বপ্নের শুরুই ছোট,0
বিশ্বাস যেকোনো পরিস্থিতিতে ইতিবাচক জীবনকে সহজ,0
জামা প্যান্ট জুতা সাথে মরলাম পাখি কথা রেখেছি পাখি গত ২ বছর বলেছিলাম পাখি যেদিন ভুলে মরণ রেখেছি পাখি কথা মত বেইমান মৃত্যুর একমাত্র পরিবার দায়ী,1
২০১৬তে বিয়ে বিয়ের শোভন নামে চুয়েটের ৮ম ব্যাচের এক ছেলের সাথে হোটেলে রাত কাটায় লজ্জা লাগছে লিখতে ততদিনে সবাইকে বিয়ের দাওয়াত দেয়া শেষ যেহেতু চট্টগ্রামের সবাই চিনে বিয়ে কেনসেল বাতিল পারিনি লজ্জাতে,1
আল্লাহর বিশ্বাস রাখুন জীবনে সুন্দর সাজিয়েছেন,0
চাই কষ্টের গল্প জানুক আগ্রহী,1
প্ররোচনা দিছে মইনমিথি নামে ফ্রেন্ড মাবাবা মানসিক কষ্ট মারছে আমিই বেইমানি মেনে তারপরও ভুলে সুন্দর সংসার চাইছি,1
কষ্ট চাই অস্তিত্বই একটা বোঝা,1
সবাই ছেড়ে,1
ভালোবাসার আসল মানে থাকলে সত্যিকারের সুখী,0
কথা পড়লেই একটা শান্তি অনুভব ভালোবাসা এমনই,0
বন্ধুত্ব একটা সম্পর্ক রক্তের বাঁধনে বাঁধা হৃদয়ের বাঁধনে শক্তিশালী বন্ধুরা জীবনের সবচেয়ে বড় সম্পদ সুখের সঙ্গী দুঃখের সময়ও পাশে,0
স্মৃতিগুলো কষ্ট ভবিষ্যৎ ভয় দেখায়,1
দেশে জনসংখ্যা মানুষ কম,1
জীবনের প্রতিটি ছোট মুহূর্তকেও উপভোগ,0
চাই তাকিয়ে বলুক গুরুত্বপূর্ণ,1
সঠিক মস্তিষ্কে লিখে যাচ্ছি মৃতুর দায়ী বিষয়টা প্রকার চার্জ দায়ী,1
শিশুদের হাসি দেখলে পৃথিবীতে সারল্য জীবনের সহজত্ব শিখতে,0
প্রতিদিন ভেঙে পড়ছি পাচ্ছে,1
মুহূর্ত প্রতিদিন পড়ে মুহূর্তগুলো কেবল ভালোবাসার অনুপ্রেরণায়,0
মানুষকে অল্পতেই বিশ্বাস ধোঁকা খাই বোকার মানুষকে বিশ্বাস,1
চাই মন একদিনের শান্ত,1
ছোটবেলার মাটির ঘর লেপের উষ্ণতা মনের রয়ে,0
সত্যিকারের সুখ আসে আল্লাহর পথে চললে সম্পর্ক স্থাপন,0
বিশ্বাস মানুষ স্বপ্নের বড় চেষ্টায় অবিচল,0
শক্তিহীন পড়েছি লড়াই পারছি,1
আশপাশে সমর্থন নিজেকেই সমর্থক শিখেছি,0
ফাঁসি মরতেসি ওপর নিজেকে এতো ভালোবাসে মানুষ মানুষ জানি সলিউশন বাঁচতে দিতেসে বিশ্বাস ফাইটার মানুষ বাঁচতে চাইছিলাম,1
একদিন কঠোর পরিশ্রমের ফলস্বরূপ বড় ধৈর্য রাখুন,0
জীবনের সমস্যা শক্তিশালী এগিয়ে চলুন,0
ভালো থেকো পারছি হয়ত আমিও হেরে গেলাম তোমাকে মুক্তি গেলাম,1
মা পারবে সত্যিই পৃথিবীর জয় সম্ভব,0
শেষটা পারতো,1
অতীতের ভুলগুলো শিক্ষা নিয়েছি ভবিষ্যৎ আত্মবিশ্বাসী,0
রাখুন যেকোনো পরিস্থিতি আল্লাহ ভালোভাবে তৈরি,0
পরিবারের ছোট ছোট কাজগুলোই শিখিয়েছে কিভাবে জীবনে সুখ খুঁজে ভালোবাসাই জীবনের সবচেয়ে বড় শক্তি,0
জানি কখন শেষবার সত্যিকারের সুখ অনুভব করেছিলাম,1
আল্লাহ পাথপ্রদর্শক এগিয়ে চলুন,0
বিশ্বাসের সাথে চলুন লক্ষ্য অর্জন আসবেই,0
আল্লাহর সন্তুষ্টির করুন সফলতা আসবে,0
আশা করলেও একটু ভালো প্রশংসনীয়,0
চাই জীবন অন্যরকম হতো সম্ভব,1
বিশ্বাস রাখুন কষ্টের দিনগুলো চিরকাল,0
বিষণ্ণ রজনী চাওয়ার পাওয়ার ছাড়তে চেনা গলি চেনা রাস্তা চেনা জগৎ দুনিয়াটা খুবই নিষ্ঠুর দুনিয়াটা খুবই নিষ্ঠুর প্রেম সৌন্দর্য শরীর নিরর্থক স্রষ্টার নজর আসে সময় মেপে নিয়ম সূর্যচন্দ্র জিয়িয়ে রাখে আকুল প্রাণ জীবনটা কীটপতঙ্গের ভালোবাসা স্থবির,1
চাই সবকিছু থেমে যাক স্রেফ একটা মুহূর্তের,1
একটা পথের যাত্রী শেষ,1
জীবনের ইতিবাচক দৃষ্টিভঙ্গি সুন্দর তোলে,0
প্রত্যেক সুযোগ আসে সুযোগ এগিয়ে চলুন,0
আল্লাহর দয়ার শান্তি সময় কৃতজ্ঞ থাকুন,0
মাঠের সবুজ ঘাসের গন্ধ গোধূলির আলো প্রকৃতির ছোট ছোট জিনিসগুলোই মন ভালো,0
মন ভেঙে,1
আল্লাহর দোহাই মাফ দিবেনজীবনের হার মেনে গেলাম,1
আজকের দুনিয়ার বুক মুছে চিরতরে নাম ভালো থাকুক পৃথিবীর সকল মানুষ ভালো থাকুক প্রিয় মানুষ দুনিয়ার মায়া ছেড়ে একটু কষ্ট যতটুকু কষ্ট পাচ্ছি পাওয়ার একটাই শেষ ইচ্ছে পারলে একটু দোয়া বিদায় পৃথিবী বিদায় সকলকে,1
মৃত্যুর ৪ দায়ী ইব্রাহিম ইরাক ফোন মেরে ফেলার হুমকি ফ্যামিলিকেও মেরে ফেলবে বলছে ফোন থ্রেট রেকর্ড,1
বিদায় হাসিমাখা মুখ বুকে কষ্ট কখনো হারি নি হেরে ব্যর্থতা ব্যর্থতাই আত্নহত্যার মূল,1
জীবনের পথটা আল্লাহ চিরকাল প্রেরণা তৈরি ভরসা রাখুন,0
অভ্যস্ত মুহূর্ত যেগুলো জীবনটাকে সত্যি সুন্দর তোলে হাসি সুখ দুঃখ এসবই অপরের সাথে মিশে জীবন সুন্দর কবিতা,0
শাশুড়ি দায়ী এসবের মেয়েকে আধুনিক বানাচ্ছে একটু বানিয়ে ফেলেছে চাইলে এখনো সমাধান হতো মা মাফ দিও স্বপ্ন পূরণ পারলাম মায়ের ভালোবাসার কখনো তুলনা,1
চাই জড়িয়ে বলুক পাশে আছি,1
জানি অনুভূতিগুলো স্বাভাবিক,1
অসহায় মানুষগুলো কাঁদে কান্না সহ্য নেতা বঙ্গবন্ধুও পারিনি জীবন দিছে তবুও হার মানেনি লড়াই অন্যায়ের বিপক্ষে সারাজীবন আমিও অন্যায়কে প্রশ্রয় পারিনি খারাপ জীবনে অবদি যতো খারাপ সময় রাজনীতির জন্যে,1
কখনো হার মানবেন পরিশ্রমের বিকল্প,0
আল্লাহ জীবনে সুখ শান্তি সফলতা প্রদান পথে চলি,0
চাই ভালোবাসুক,1
দীর্ঘ পথ চলতে ছোট ছোট পদক্ষেপে চলুন একেকটা সফলতা তৈরি,0
পরিবার আশ্রয় সবসময় নিরাপদ বোধ দ্বিধা স্নেহমমতাই জীবনের আসল সম্পদ,0
চাই কষ্টটা বুঝুক,1
দুঃখের সুখ আসবে আল্লাহ নিশ্চয়,0
মায়া ভালো থাকতে বাঁচতে মৃত্যুর দুয়ারে দাড়িয়ে,1
আকাশের ছোটবেলার গানের লাইনগুলো পড়ে ভরা রাতে মন খোলা আকাশ,0
যেখানেই থাকুন নিজেকে বিশ্বাস সাফল্য অর্জন,0
আল্লাহর বিশ্বাস স্থাপন করলেই জীবনের কঠিন পরিস্থিতি সহজ,0
আল্লাহর নাম স্মরণ জীবন সুখী ওঠে,0
কল্পনা করিনি প্রতিদান দিবা সরে গেছিলাম আসছো সখের পুরুষ দুনিয়া ছাড়তে বাধ্য দোষ দোষ ভালোবাসছি দোষ,1
একদিন আল্লাহ দোয়া শোনাবেন আশা হারানো,0
কষ্টের সাগরে ডুবে আছি কোথাও তীরে পৌঁছানোর সুযোগ,1
আজকের দিনে আল্লাহর রহমত সুখ সকলের জীবনে বিরাজ করুক,0
ভালোবাসা প্রতিদিন বাঁচতে শেখায় কাটানো প্রতিটি মুহূর্তই জীবনের সবচেয়ে সুন্দর সময়,0
প্রিয় মানুষটার বিয়ে কারো সাথে মেনে নিতেই পারতেছি স্পর্শ ভাবলেও প্যানিকে গা হাত পা জমে একদম এদিকে ফাইনাল পরীক্ষা চলতেছে করব করব বুঝতে পারতেছি পাগলের মত লাগে এসব ভাবলে,1
ভালোবাসার আসল মানে ত্যাগ ভালোবাসার গভীরতাই জীবনের মানে শিখিয়েছে,0
জীবন সময় কঠিন আল্লাহ সবসময় বান্দাদের ভালো অপেক্ষা,0
একটা ছায়া যেটা দিনে দিনে ফিকে,1
কখনো নিজেকে ছোট ভাববেন সক্ষম,0
কাটানো প্রতিটি মুহূর্তই জীবনের সেরা স্মৃতি ভালোবাসা সম্পূর্ণ,0
চলার পথে বাধাই আসুক আল্লাহ সঠিক পথ নির্ধারণ,0
কখনো সত্যিই ভালোবেসেছে,1
বাবামা ভাই সবাই মাফ দিয়ো ভালো থেকো তোমরা সময় দোস্ত তোরাই লাইফে একটা বেস্ট পার্সোন ছিলি সবসময় সাপোর্ট করতি ভালো উপদেশ দিতি শুনি আজকে তোর কথা গুলো শুনতাম এইদিন হতো ভালো থাকিস সবসময় খেয়াল রাখিস মাফ দিস দোস্ত,1
ক্ষুদ্র জীবনে চলাফেরা অনেকের মন জয় পারিনি ইচ্ছায় অনিচ্ছায় আচার আচরণে কষ্ট থাকলে আল্লাহর ওয়াস্তে ক্ষমা দেবেন,1
চাই ব্যথাটা বোঝার করুক,1
প্রকৃতির কোলে কাটানো সময় শান্তি আনে প্রকৃতির সম্পর্ক গভীর,0
মাটির গন্ধ বৃষ্টির শব্দ এসব অনুভব কখনো কখনো প্রযুক্তি দূরে দরকার,0
আম্মু মারা দুনিয়াটা ছোট গিয়েছিল ভবিষ্যৎ চাওয়া ছেড়ে স্বপ্ন দেখার মিডিয়াতে প্রতিষ্ঠা পারেননি পথের কাঁটা সরে দোয়া রইল সুপারস্টার সুনাম ছড়িয়ে পড়ুক চারিদিকে কামনাই,1
ক্ষুদ্র জীবনে চলাফেরা অনেকের মন জয় পারিনি ইচ্ছায় অনিচ্ছায় আচার আচরণে কষ্ট থাকলে আল্লাহর ওয়াস্তে ক্ষমা দেবেন,1
মোবাইলে দেখি ভাইবারে পাই মাহবুব নামে কুমিল্লা মেডিকেলের ব্যাচম্যাটের সাথে হোটেলে শত শত ছবি বেঁচে মৃত গেলাম ক্ষমা চাইল স্ত্রী শবেকদরের রাতে কান্না পা কখনো আমিও ক্ষমা এক বছর ভালোভাবেই সংসার করলাম,1
জীবনটা এক যাত্রা যাত্রায় প্রতিটি পদক্ষেপই গুরুত্বপূর্ণ,0
বন্ধু মানে ব্যক্তি মনের কথা পাশে পেলে সবকিছু সহজ বন্ধুরা হাসি কান্নারও অংশীদার প্রতিদিন কৃতজ্ঞ,0
ছোট অর্জনগুলোই একদিন বড় উঠবে,0
ঝুলে গেলো সত্তামানুষ নাম দিলো আত্মহত্যা,1
ভাইবোনদের কাটানো ছোট ছোট ঝগড়া মজাগুলোই জীবনের মধুর স্মৃতি,0
চাই মনের ভার শেষ যাক,1
চাই অনুভূতিগুলো একদিন স্বাভাবিক,1
জীবনে বড় অর্জন ছোট লক্ষ্যগুলো ঠিকমতো পূরণ,0
পরিবারের কাটানো ছোট্ট মুহূর্তগুলোই জীবনের সবচেয়ে বড় সম্পদ একসাথে খাওয়া গল্প হাসিমজা মুহূর্তগুলো জীবনের আসল সুখ এনে জানি জীবনের সবচেয়ে নিরাপদ আশ্রয় পরিবার,0
জীবন কেবল একটা দীর্ঘ অন্ধকার পথ শেষ কোথাও,1
অন্যকে ক্ষমা পারা জীবনের সবচেয়ে বড় শক্তি,0
দ্যা এন্ড,1
চাই ব্যথা এক মুহূর্তে শেষ যাক,1
সবসময় কষ্টে আছি,1
অনুপ্রেরণা লক্ষ্যগুলোর কথা করলেই শক্তি পাই,0
আলবিদা,1
বিশ্বাসের সম্পর্ক শক্তিশালী বিশ্বাস কখনো ভুল চিরকাল শক্তি,0
জীবনের নিয়ন্ত্রণ হারিয়ে ফেলেছি,1
জীবনের প্রতিটি শেখায় শেখার প্রস্তুত থাকি,0
অসম্ভব ইচ্ছাশক্তি থাকলে অর্জন সম্ভব,0
জন্মেছি সুন্দর পৃথিবীতে মরব সুন্দর পৃথিবীতেই মৃত্যু কষ্ট দিয়ো তৈরি এসো ভালবেসে গ্রহণ করো,1
পরিবারের কাটানো সময়ই জীবনের সেরা সময় ভালোবাসাই সুখী,0
বিদায় পাখি সাথে বেঈমানি কখনো বুঝিনি কখনোই তোমাকে বিরক্ত করব একটা কথা বলব পাখি ঠকালে এইভাবে মায়ের কোল খালি করো প্লিজ ভালো থেকো পাখি মানুষটার সাথে কথা বলছো যেনো কাঁদিও,1
আল্লাহর পথটাই সবথেকে সুন্দর পথ আল্লাহ বেছে পথই সফলতা আনে,0
মায়ের মমতা বাবার স্নেহের ভালোবাসা পৃথিবীর কোথাও,0
জীবনের অংশ প্রতিদিন বাঁচার আশা জোগায় ভালোবাসার গভীরতাই জীবনের মানে শিখিয়েছে,0
জীবনের সংকট পরীক্ষার মধ্য আল্লাহ শক্তিশালী,0
সম্পর্ক জীবনের পথচলার শক্তি ওঠে পাশে আপনাকে লক্ষ্য অর্জন সাহায্য,0
ভেতরে অবশিষ্ট পুরোপুরি ফাঁকা গেছি,1
কিছুর আগ্রহ আনন্দ,1
বিপদের জীবন অসহায় হাতের স্পর্শ স্নেহভরা শব্দ প্রয়োজন,0
নিজেকে হারিয়ে ফেলেছি নিজেকেও চিনতে পারছি,1
মৃত্যুর ছেলে দায়ী মেয়েকে হত্যা করব বিষ খেয়ে মরব ছেলে লাখ লাখ টাকা হাতিয়ে বিয়ে সংসার ছেলের নাম সাজু সাজ্জাদুর রহমান পলাতক সোনাদানা এমনকি মায়ের সোনাদানা আত্মসাৎ আজকেই আত্মহত্যা করব,1
কঠিন মুহূর্তে আল্লাহকে স্মরণ করুন সাহায্য জীবনে শান্তি আনে,0
আল্লাহর দয়ায় জীবন সুন্দর ওঠে ওপর বিশ্বাস রাখুন,0
পৃথিবী জুড়ে লাশের গন্ধ পাচ্ছি,1
জীবন সবসময় সরল পথে মাঝে মাঝে বাঁক নেয় বাঁকগুলোই শক্তিশালী,0
মিষ্টি হাসি জীবনের কষ্ট দূর সুখের,0
সফলতা তাড়াহুড়া আসে আসে পরিকল্পনা পরিশ্রমের,0
স্বপ্নগুলো অন্যদের অসম্ভব জানি একদিন সেগুলো পূরণ করব,0
নিজেকে কখনো ছোট ভেবে হতাশ প্রতিটি মানুষ আলাদা গুরুত্বপূর্ণ,0
জানুয়ারি ২০১৯ রেগুলার ক্লাবে মদ খাচ্ছে প্যাটেল নামে এক ছেলের সাথে বারবার বলছি ভালো লাগলে ছেড়ে দাও চিট করো মিথ্যা বলো ভালোবাসা সবসময় ১০০ সহ্য পারিনি দেশে ভালোবাসায় চিটিংএর শাস্তি আমিই বিচার করলাম চির শান্তির পথ বেছে নিলাম,1
ছোট ছোট ভুলগুলো শেখার সুযোগ ব্যর্থতাই সফলতার ধাপ,0
চাই বুঝুক অনুভূতিগুলো বোঝার করুক,1
বেঁচে থাকার খুঁজে পাচ্ছি,1
আল্লাহর রহমত জীবন সুন্দর আনন্দময় ওঠে,0
প্রথমবার চিঠি লিখছি শেষ বারও আমায় ক্ষমা কথার অর্থ বোঝেন শৈশবের একাকীত্বের অভাব এখনো কাটিয়ে উঠতে পারিনি পৃথিবী কঠিন ছিলো বুঝতে পারছি ভুল করেছি সবসময় যন্ত্রণার কাটাতারের হাটতে একটা জীবন এতো যন্ত্রণার,1
পরিশ্রমের বিকল্প একমাত্র পথ সাফল্যের,0
কারো গভীর মায়া কিভাবে কাটাতে,1
পারলাম একটা মানুষ জীবনের হেরে,1
শূন্য হাতে এসেছিলাম শূন্য হাতে গেলাম পারলে সবাই দোয়া কইরো পাপীর,1
অনুভূতি বোঝানোর শব্দ খুঁজে পাই নীরবতা,1
ভেতর ভেঙে পড়েছি নিজেকে জোড়া লাগানোর শক্তি,1
ভবিষ্যতে ঘটবে আল্লাহ জানেন পথে চলা,0
ছোটবেলা রক্তে মিশে রাজনীতি বঙ্গবন্ধুর রাজনীতিতে বিশ্বাসি দেখানো পথেই আসছি অবদি চাকরি বিয়ে কোনোটাই করিনি ছাত্রলীগ করবো বাট দলও টাকার জিম্মি জীবনে বাকি বেঁচে থাকতাম দুমুঠো ভাতের জন্যে,1
জীবনের ছোট ছোট মুহূর্তগুলোই বড় সাফল্যের,0
জানি কতদিন শূন্যতার টিকে থাকতে পারবো,1
বিদায় পাখি সাথে বেঈমানি কখনো বুঝিনি কখনোই তোমাকে বিরক্ত করব একটা কথা বলব পাখি যেভাবে ঠকালে এইভাবে মায়ের কোল খালি করো,1
জীবনে ভালো বিশ্বাস রাখেন ইতিবাচক মনোভাব এগিয়ে,0
সবেমাত্র সফলতার মুখ যাচ্ছিলাম জীবন থেমে পরিবার আমায় বছর লালনপালন করল পারলাম লজ্জিত,1
সীমাবদ্ধতাগুলো মেনে সেগুলোই একদিন শক্তিতে পরিণত,0
একটা দীর্ঘশ্বাস শুনতে পায়,1
ভালো থেকো আব্বু আম্মু,1
আবেগ লুকাতে অতিরিক্ত আবেগ মানুষকে এগোতে,1
অনুভব পৃথিবীর অংশ নই,1
কখনো চাইব সবাই ভালো থাইকেন দোয়া কইরেন পোস্ট,1
শক্তি খুঁজুন বিশ্বের আপনাকে থামাতে পারবে,0
ভালোবাসা শুধুমাত্র অনুভূতি জীবনের সবচেয়ে বড় শক্তি,0
অন্ধকারের হাঁটছি,1
চাই হতাশ চুপচাপ থাকি,1
সবচেয়ে কঠিন পরিস্থিতিতেও আল্লাহ পাশে কখনো হারানো,0
ভালোবাসা শক্তি কখনো থামে শক্তিশালী ওঠে শক্তি জীবনকে আলোকিত প্রতিদিনের পথে আলোকবর্তিকা দাঁড়ায়,0
জীবনটা আনেক সুন্দরভাবে গুছাইতে চাইছিলাম মনের মানুষকে ব্যর্থতা আপন মানুষ গুলোর ভুল বুঝা চাপ লাগা সম্মানে দাগ লাগা মিলিয়ে টিকে থাকতে পারলাম মাবাবা বন্ধুবান্ধব প্রিয় মানুষ ভাইবোন আত্মীয়স্বজন ভুল থাকি মাফ দিবেন পৃথিবী বাঁচতে দিল মৃত্যুর দায়ী আলবিদা,1
স্বপ্ন রাতের দিনের আলোতেও স্বপ্ন বিশ্বাস,0
মানুষ মরে মরলেই দোষ,1
নিজেকে ক্লান্ত অনুভব ঘুমিয়েও ক্লান্তি কাটে,1
পৃথিবীতে মানবতা জিনিসটা হারিয়ে শিক্ষিত লাভ বিবেক অন্ধ,1
কাটানো প্রতিটি মুহূর্তই ভালোবাসাই জীবনের আলো,0
অবশ্যই জীবনের যেকোনো চ্যালেঞ্জই আল্লাহ সহজ,0
স্বপ্ন এক জিনিস অর্জনের লড়াই আসল ব্যাপার,0
একদিনে পরিবর্তন সম্ভব প্রতিদিনের ছোট ছোট কাজেই সাফল্য আসবে,0
জানি ধৈর্য পরিশ্রম অর্জন সম্ভব,0
চাই থেমে যাক কষ্টগুলো থামুক,1
জানি শেষবার আনন্দ অনুভব করেছিলাম,1
ভেতরের অন্ধকারটা গ্রাস,1
প্রেম এক অনুভূতি চোখে হৃদয়ে অনুভব জীবনের প্রতিটি মুহূর্তে প্রেমের উপস্থিতি অনুভূত সবকিছু সহজ সুন্দর ওঠে,0
নিজেকে সহ্য পারছি,1
আশা প্রতিবারই হতাশ হই,1
পরিবার জীবনের সবচেয়ে বড় আশীর্বাদ ভালোবাসা প্রতিদিন জীবনের কঠিন সময় পার সাহস,0
সমস্যা নিজেকে মনটাকে বুঝিয়ে রাখতে পারছিলাম মনের সাথে যুদ্ধ বারবার হেরে যাচ্ছিলাম রোজই মৃত্যু তাড়া করছিল বুক ভরে নিঃশ্বাস পারছিলাম গত অসহ্য মানসিক যন্ত্রণা সহ্য করেও বাঁচতে চেয়েছি ভরপুর বেঁচে থাকার স্বাদ ছিলো সম্ভাব্য মানুষের বেঁচে থাকার আর্জি জানিয়েছি বারবার বাঁচতে চেয়েছিলাম,1
হারিয়ে যাচ্ছি ভুল থাকি মাফ দিয়ো প্রিয়জন সবকিছুর সমাধান আত্মহত্যা থাকতে বোঝে হারিয়ে সবাই খোঁজে,1
ইয়েস অপদার্থ একজন মানুষ ধন্যবাদ,1
